MUN,NOM_MUN,POBTOT,cluster,perfil,p_aguadv,p_drenaj,p_c_elec,p_inter,p_cel,p_autom,GRAPROES,PROM_OCUP
36,Hueypoxtla,46757,2,intermedio,0.9740349662454562,0.9620045006058509,0.9979227972996364,0.2501298251687727,0.8293231781201316,0.3622122208758871,8.51,4.04
37,Huixquilucan,284965,0,alto,0.9788142832735348,0.9950452759268752,0.9985599570427864,0.6938444265456054,0.9307681042688732,0.5766395743330649,11.23,3.47
38,Isidro Fabela,11929,2,intermedio,0.9903622465935528,0.9282153539381854,0.9950149551345964,0.3785310734463277,0.8374875373878365,0.4111000332336324,9.06,3.95
39,Ixtapaluca,542211,0,alto,0.9786754235960186,0.9906934915757704,0.9973497571178438,0.6075051608200083,0.9136388720457286,0.3659583455398933,10.14,3.69
40,Ixtapan de la Sal,36911,2,intermedio,0.9324159021406728,0.96493374108053,0.9938837920489296,0.4320081549439347,0.8904179408766565,0.419164118246687,8.87,3.74
41,Ixtapan del Oro,6475,1,bajo,0.9737939249553306,0.8677784395473496,0.9743895175699822,0.0375223347230494,0.5413936867182847,0.2727814175104229,7.01,3.86
42,Ixtlahuaca,160139,2,intermedio,0.93946370176586,0.8494702419882276,0.9906605624591236,0.3000392413342053,0.8297187704381949,0.3752779594506213,8.72,4.17
43,Xalatlaco,30687,2,intermedio,0.9692437923250564,0.9812358916478556,0.9954853273137696,0.3220936794582393,0.7940180586907449,0.4023702031602709,9.17,4.32
44,Jaltenco,28217,0,alto,0.9977678571428572,0.9964548319327732,0.9988182773109244,0.5975577731092437,0.8931197478991597,0.3650210084033613,10.24,3.69
45,Jilotepec,87671,2,intermedio,0.911886586695747,0.8825736095965103,0.9774918211559432,0.2767720828789531,0.8541330425299891,0.4955725190839695,9.05,3.8
46,Jilotzingo,19877,2,intermedio,0.992058765137979,0.9624776652769506,0.9928528886241812,0.4194957315862617,0.8548739328965654,0.4254516577327774,9.27,3.94
47,Jiquipilco,76826,2,intermedio,0.9752683645548306,0.8952852031151337,0.9871079772679436,0.1368133024626394,0.7274258050936645,0.3088823405598821,8.19,4.04
48,Jocotitlán,69264,2,intermedio,0.97138180176112,0.9095168209528112,0.985493339354256,0.3256378414992097,0.8271618875592684,0.4429893881237299,9.56,3.9
49,Joquicingo,15428,2,intermedio,0.9723618090452262,0.9690117252931324,0.990787269681742,0.3579006141820212,0.7875488553880514,0.3082077051926298,8.69,4.29
50,Juchitepec,27116,2,intermedio,0.9767340410062528,0.9796422858804712,0.994474334738985,0.2947506180020358,0.8483350298095099,0.2447288061654791,9.0,3.94
51,Lerma,170327,0,alto,0.9898961284230406,0.9879839471199244,0.9957743153918792,0.5185316336166195,0.8926109537299339,0.5042256846081209,10.36,4.0
52,Malinalco,28155,2,intermedio,0.9530890901716912,0.9165878058672436,0.9912126537785588,0.2353656887927538,0.7622008922536163,0.2821414086791943,7.96,3.79
53,Melchor Ocampo,61220,0,alto,0.9940871164838052,0.9943499113067472,0.9974377504763156,0.5317653242231128,0.9000065698705736,0.4113395966099468,9.96,4.01
54,Metepec,242307,0,alto,0.994812790219244,0.9957973314524188,0.9981778639863632,0.7343795920766473,0.92880444366073,0.6390260389114206,12.27,3.55
55,Mexicaltzingo,13807,0,alto,0.9796352583586626,0.9869300911854104,0.9987841945288752,0.5398176291793313,0.8656534954407294,0.5525835866261398,10.14,4.18
56,Morelos,33164,1,bajo,0.9197644460802356,0.7845663108821004,0.9654030180345968,0.1355661881977671,0.7310759416022574,0.3232732180100601,7.62,4.06
57,Naucalpan de Juárez,834434,0,alto,0.9950167844707158,0.9975521778111384,0.9989157857425826,0.6677216905402306,0.9118325305977774,0.4599528783803507,10.72,3.47
